Task Name,Assignee,Category,Day,Item,Normal Schedule,Parent item,Person,Phase,Project,Public Holiday,Remark,Status,Sub-item,Text,Type,Urgent,Urgent task arrange
Contingency Reserve + Management Reserve,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
1st Schematic Design Review,,"Client, PM, Spatial, UIUX/Graphic",2 days,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/09/14 → 2026/09/15,1st Design review
Payment Schdeule,,"BD, PM",,,,Resource / Budget Plan (https://app.notion.com/p/Resource-Budget-Plan-b45cd84d8d8f826bb3ea01cd8a827108?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Pitching Proposal,,BD,,,,,,Pitching,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,"Profile Strategy / Previous Project (https://app.notion.com/p/Profile-Strategy-Previous-Project-724cd84d8d8f823983eb01f6d1db2670?pvs=21), Market Trend & Opportunities (https://app.notion.com/p/Market-Trend-Opportunities-6ebcd84d8d8f822990b88132a645107a?pvs=21), Story + Key Feature (https://app.notion.com/p/Story-Key-Feature-27dcd84d8d8f823aa31e81d9fc5ed5ba?pvs=21), Graphic + UIUX Style Concept (https://app.notion.com/p/Graphic-UIUX-Style-Concept-840cd84d8d8f829d919a017835d456b0?pvs=21), Spatial + Visitor Flow + Crowd Control (https://app.notion.com/p/Spatial-Visitor-Flow-Crowd-Control-a4dcd84d8d8f832ab22001f997127df9?pvs=21), Program Schematic (https://app.notion.com/p/Program-Schematic-0e2cd84d8d8f83b1aa030172892bc006?pvs=21), High Level Schdeule (https://app.notion.com/p/High-Level-Schdeule-983cd84d8d8f83178e5081cde35bd36e?pvs=21)",,Milestone,,
2nd Schematic Design Proposal,,"PM, Spatial, UIUX/Graphic",4 days,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,8-10 days,Milestone,2026/09/16 → 2026/09/21,2nd Design
Profile Strategy / Previous Project,,BD,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
2nd Schematic Design Review,,"Client, PM, Spatial, UIUX/Graphic",2 days,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/09/21 → 2026/09/22,2nd Design review
Market Trend & Opportunities,,BD,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Schematic Sign-Off,,"Client, PM",1 day,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Milestone,2026/09/22,
Story + Key Feature,,"Spatial, Story, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
2nd Payment,,"Client, PM",,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Payment-In,,
Graphic + UIUX Style Concept,,"Backend, Frontend, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Spatial + Visitor Flow + Crowd Control,,Spatial,,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
Program Schematic,,"Frontend, UIUX/Graphic",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
High Level Schdeule,,"BD, PM",,,,Pitching Proposal (https://app.notion.com/p/Pitching-Proposal-018cd84d8d8f83f0a72881043c42061c?pvs=21),,Pitching,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
High Level Schedule,,BD,,,,,,Pitching,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,,
1st Detail Design Proposal,,"PM, Spatial, UIUX/Graphic",5 days,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,10 - 14 days,Milestone,2026/09/23 → 2026/09/29,3rd Design
"Tender Submission Period ",,BD,,,,,,Pitching,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,,
1st Detail Design Review,,"Client, PM, Spatial, UIUX/Graphic",2 days,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/09/29 → 2026/09/30,3rd Design review & confirmation
Kickoff Meeting,,"AVH, BD, Construction, Fabrication, Frontend, PM, Spatial, UIUX/Graphic",,,,,,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Milestone,,
Master Schedule Approval,,PM,2 days,,,,PM,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 weeks,Milestone,2026/09/04 → 2026/09/07,
1st Payment,,"Client, PM",1 day,,,,,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,+$20000,Not started,,,Payment-In,2026/09/10,
2nd Detail Design Proposal,,"PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,8 - 10 days,Milestone,,
Project Folder Setup,,PM,,,,,,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Task,,
2nd Detail Design Review,,"Client, PM, Spatial, UIUX/Graphic",,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,,
Detail Design Sign-Off,,"Client, PM",1 day,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Milestone,2026/09/30,"Design confirm, Freeze"
Data Collection,,PM,3 days,,,,PM,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,"all key visual, branding guideline, photo/video use. static info
PS: client internal 未ready",Not started,,1 - 2 weeks,Task,2026/09/02 → 2026/09/04,
3rd Payment,,"Client, PM",,,,,,Detail Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Payment-In,,
Detail Budget refinement,,"AVH, Construction, Fabrication, Liscense/Insurance, PM, Printing",,,,,PM,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Task,,
Work Breakdown,,PM,1 day,,,,PM,Kickoff,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,2 days,Task,2026/09/03 → 2026/09/03,
1st Schematic Design Proposal,,"Frontend, PM, Spatial, UIUX/Graphic",5 days,,,,,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,"Story Content (https://app.notion.com/p/Story-Content-3cfcd84d8d8f80499259e0ac90a35e3f?pvs=21), Site map + userflow (https://app.notion.com/p/Site-map-userflow-3cfcd84d8d8f80009521c6107ec8ded6?pvs=21), UIUX Wireframe + Styleframe (https://app.notion.com/p/UIUX-Wireframe-Styleframe-554cd84d8d8f8220beda01b91a8ad7ca?pvs=21)",10 - 14 days,Milestone,2026/09/07 → 2026/09/11,1st Design
UIUX Wireframe + Styleframe,,,5 days,,,1st Schematic Design Proposal (https://app.notion.com/p/1st-Schematic-Design-Proposal-e2ccd84d8d8f828980b181faa3e5aa96?pvs=21),,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,decide site pages and content,Not started,,,Task,2026/09/07 → 2026/09/11,
Web - Front-end UIUX Develop,,"Backend, Frontend",10 days,,,,,Program-DEV,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/09/23 → 2026/10/06,start from something confirmed
System Integration,,"Backend, Frontend, UIUX/Graphic",10 days,,,,,Program-SIT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/09/23 → 2026/10/06,
Internal QA + Fine Tuning,,"Backend, Frontend, PM, UIUX/Graphic",2 days,,,,,Program-SIT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/07 → 2026/10/08,
1st UAT,,"Backend, Client, Frontend, PM, UIUX/Graphic",2 days,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/08 → 2026/10/09,"open dev web to client to view, and let them gather comment with transparency"
1st UAT Fixing,,"Backend, Frontend, UIUX/Graphic",3 days,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/12 → 2026/10/14,
2nd UAT,,"Backend, Client, Frontend, PM, UIUX/Graphic",1 day,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/15,
2nd UAT Fixing,,"Backend, Frontend, UIUX/Graphic",3 days,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/16 → 2026/10/17,
UAT Sign-Off,,"Client, PM",1 day,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/19,
4th Payment,,"Client, PM",,,,,,Program-UAT,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Payment-In,,
Web Phase 1- Deployment,,AVH,1 day,,,,,Program-Deployment,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/19,
Project Sign-Off & Document,,"Client, PM",1 day,,,,,Completion,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/20,
5th Payment,,"Client, PM",,,,,,Completion,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Payment-In,,
Project Record,,"PM, Video",,,,,,Completion,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,,
In Team Retrospective / Lesson Learn,,"BD, Backend, Engine, Frontend, Lighting, PM, Projection, Spatial, Story, UIUX/Graphic, Video",,,,,,Completion,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,,
Balance Payment,,"Client, PM",,,,,,Maintenance,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Payment-In,,
Site map + userflow,,,5 days,,,1st Schematic Design Proposal (https://app.notion.com/p/1st-Schematic-Design-Proposal-e2ccd84d8d8f828980b181faa3e5aa96?pvs=21),,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Task,2026/09/07 → 2026/09/11,
Staging Server,,,5 days,,,,,Program-DEV,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/09/16 → 2026/09/22,
Video Shooting,,Video,1 day,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Milestone,2026/10/06,
Video 1st Cut,,,4 days,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/10/07 → 2026/10/12,
Video 2nd Cut,,,2 days,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/10/13 → 2026/10/14,
Interviewer arrangement,,,13 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/09/23 → 2026/10/09,
Story Line design,,,5 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,10-14 days,Milestone,2026/09/07 → 2026/09/11,
Story Board,,,10 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,15 days,Milestone,2026/09/16 → 2026/09/29,3days - 5days catchup
Story Line review,,,2 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/09/14 → 2026/09/15,
Story Board Review,,,2 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/09/29 → 2026/09/30,
Story Board confirmation,,,1 day,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,1 day,Milestone,2026/10/05,
Story Content,,,5 days,,,1st Schematic Design Proposal (https://app.notion.com/p/1st-Schematic-Design-Proposal-e2ccd84d8d8f828980b181faa3e5aa96?pvs=21),,Schematic Design,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Task,2026/09/07 → 2026/09/11,
Web - Pre site map,,,5 days,,,,,Program-DEV,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/09/16 → 2026/09/22,start after 1st Schematic review
Story Board fixing,,,2 days,,,,,Video Prepro,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,3 days,Milestone,2026/10/02 → 2026/10/05,
Video 1st Cut review,,,1 day,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,5 days,Milestone,2026/10/12,
Video 2nd Cut review,,,1 day,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,3 days,Milestone,2026/10/15,
Video  Minor fix and confirmation,,,1 day,,,,,Video Prod,Trillingua Interview Use (https://app.notion.com/p/Trillingua-Interview-Use-3c9cd84d8d8f80149efacc43d9a1d0a5?pvs=21),,,Not started,,,Milestone,2026/10/16,
